input,reply
오늘도 수업 열심히 들었다,수업 다 째고 놀고 있는데 존경합니다…
외식하고 싶었는데 절약을 위해 잘 참고 집밥 만들어먹었어요,요새 식비 많이 나와서 고민이었는데 본받고 가요!
외식하고 싶었는데 절약을 위해 잘 참고 집밥 만들어먹었어요,집밥 만들기만큼 정성이 들어가는 일은 또 없죠! 대단해요!
축제 날 수업을 듣는 나 칭찬해,저도 들으러 갈게요.. 멋져요!!
학교 온 거 칭찬해,부스 운영하느라 고생 많았어~ 칭찬해!
택시타고 학교를 왔다!,학교를 안 오고 싶었겠지만 택시까지 타고 온 너의 의지를 칭찬해
이 더운 날에 나와서 열심히 부스 도는 나 칭찬해 (더워),습한 날씨에 진짜 대박! 갓생러 파이팅!
오늘 수업을 가기 싫었는데 갔습니다!!,학교 가는게 제일 힘든 건데 멋있어요!
칭찬 고래에 온 나 칭찬해,돈 없다고 무료 부스만 도는 검소한 모습 칭찬해~
잘 씻는다. 섹시하다,나도 다음에 잘 씻겨주길. 칭찬해~
지하철 자리양보함,자신도 힘들텐데 자리 양보까지 하는 당신.. 너무 따뜻한거 아님니까? 대단해
지하철 자리양보함,허어.. 이악물고 모른척하는 제 모습이 떠올라 반성하게 되네요.. 멋지다.
그래도 부스하려고 신청한 거 칭차내. 좋은 경험이야 ○○아,새로운 시도를 용기있게 도전한 너. 칭찬해~ 책임감 있게 끝까지 한 것도!
열심히 살고 있는 나 칭찬해,○○아 수영을 05시에 신청한 용기를 칭찬해.
○○아 낮잠을 길게 잘 자서 칭찬해.,잠을 잘 자고 있다니 정말 칭찬해
오늘 늦잠도 안자고 학원 갔다가 학교 부스도 참가했다,"완전 갓생.. 학원, 학교 둘 다 가다니.. 수고했어용"
자휴 하나밖에 안한 나 칭찬해~,정말 자휴하고 싶었을텐데 참았다니 대단해~!
너가 짱이야. 오늘 안 자고 수업 들었던..,대단해~~ 나는 계속 잤어~ ㅠㅠ
매일 6시 기상해서 도시락 만드는 나 칭찬해~,와.. 이건 진짜 부지런쟁이다. 멋져요.
축제 때 알바가는 나 칭찬해,대박.. 남들 돈 쓸 때 돈 버는 너 대단해
