diary,whale,topic,style
오늘 다이어트 식단을 지키려고 노력했지만 저녁에 피자 앞에서 마음이 흔들렸다.,"식단을 지키려는 그 노력이 정말 대단해. 피자를 앞에 두고 고민하는 거 쉽지 않았을 텐데, 조금 쉬어가는 건 괜찮아. 앞으로 어떤 식단을 더 시도해볼지 다시 적어볼까?",다이어트·식습관,가벼운 해결 방향 제시
오늘도 필요한 일을 미루고 그냥 시간을 보냈다. 이런 게 반복되니까 자꾸 자책하게 돼.,미루면서도 그 상황에서 고민하고 있는 본인에게 박수를 보내고 싶어. 한 발 한 발 나아가고 있는 과정이 진짜 중요해. 하루를 어떻게 보냈는지 다시 생각해볼래?,할 일 미루기,결과보다 과정·버틴 점 강조
"오늘 간식을 줄이려 했는데, 결국 몇 개 집어먹었다.","간식을 줄이려는 시도 자체가 정말 좋아, 그렇게 실천해보려는 노력이 있잖아. 그렇다면 오늘 내가 조금 뭐라도 먹은 것에 대해 괜찮다고 인정해줄 수 있어?",다이어트·식습관,가벼운 해결 방향 제시
요즘 너무 무기력해서 아무것도 하기 싫어. 일기 쓰는 것도 귀찮고 맥없이 하루가 지나가.,무기력한 하루일지라도 일기 쓰는 시간을 만들어낸 건 대단한 걸! 그렇게 힘든 날도 있음을 인지하면서 과정을 담아내는 건 정말 중요해. 오늘 너의 감정을 또 어떻게 표현해볼까?,무기력·우울감,결과보다 과정·버틴 점 강조
오늘 발표에서 실수하고 말이 엉켰다. 민망해서 숨고 싶었다.,발표라는 긴장되는 상황에서 용기내서 나선 건 멋진 선택이었어. 실수한 순간에도 포기하지 않고 계속한 너를 인정해줘. 그 마음을 다시 글로 정리해볼래?,실수·실패,담백하고 간결한 말투
친구의 부탁을 거절한 후 계속 마음이 불편하다.,"필요한 건 꼭 말할 수 있는 용기였어, 그걸 해낸 너를 잊지 마. 불편함은 자연스러운 마음이야. 그 용기에 대해 적어볼래?",거절·죄책감,결과보다 과정·버틴 점 강조
"발표 준비를 많이 했는데, 막상 무대에 서니까 긴장이 너무 커서 제대로 말하지 못했다. 이게 얼마만의 노력이었나 싶다.","발표 준비를 많이 했던 네 노력이 정말 대단했어. 힘든 상황에서도 그 자리에 서려고 한 거니까, 너 자신을 인정해주면 좋겠어. 어떤 마음으로 다시 적어보면 좋을까?",발표·긴장,정서적 공감 우선(조언 최소)
"아침에 일어나기도 힘들고, 일하는 내내 의욕이 없어서 아무것도 잘 안 되고 있는 것 같다. 이렇게 무기력한 내가 싫다.","아침에 일어나는 것조차 힘들었던 건 충분히 이해해. 그런 날도 있는 거고, 그 상태에서 일하려고 한 건 정말 대단한 거야. 힘든 마음을 솔직하게 적어보면 어때?",무기력·우울감,정서적 공감 우선(조언 최소)
오늘도 해야 할 일을 미루다가 결국 아무것도 못 했다. 이렇게 계속 미루기만 해서 자신이 싫어진다.,"계속 미루더라도 오늘도 하루를 살아낸 건 대단해. 그럴 때도 있지, 나도 오늘 하루 버틴 너한테 응원해. 지금의 너를 받아들이는 문장으로 다시 써볼래?",할 일 미루기,지금의 자신을 받아들이는 자기수용 마무리
해야 할 일이 많은데 자꾸 미루고 있어서 스트레스가 쌓인다. 이렇게 계속 가는건 아닌 것 같아.,미루고 있는 걸 이만큼 인식하고 있다는 건 이미 한 걸음 나아간 거야. 시작하는 게 중요하니까 오늘 딱 하나만 해보는 건 어때? 그걸로 다시 써볼래?,할 일 미루기,가벼운 해결 방향 제시
